benchmark_id,elite_rate,elimination_rate,seed,best_value,error,time
CEC2022_F1,0.05,0.15,2158924125,13583.7715631307873991,13283.7715631307873991,1.509567
CEC2022_F1,0.05,0.15,1981180051,9615.1003187519017956,9315.1003187519017956,1.526383
CEC2022_F1,0.05,0.15,2112044542,9817.4416321816297568,9517.4416321816297568,1.519878
CEC2022_F1,0.05,0.15,2881573664,10773.3067981267158757,10473.3067981267158757,1.511932
CEC2022_F1,0.05,0.15,2372223958,8593.9465812138496403,8293.9465812138496403,1.533661
CEC2022_F1,0.05,0.15,145415183,7053.3859134925342005,6753.3859134925342005,1.529859
CEC2022_F1,0.05,0.15,2487350364,13134.8358628856476571,12834.8358628856476571,1.525771
CEC2022_F1,0.05,0.15,3686646044,12592.7272478438699181,12292.7272478438699181,1.508852
CEC2022_F1,0.05,0.15,3678671351,9635.5943281349500467,9335.5943281349500467,1.510431
CEC2022_F1,0.05,0.15,524986831,1779.2411719610652199,1479.2411719610652199,1.520321
CEC2022_F1,0.05,0.15,1459918617,6567.0745179103396367,6267.0745179103396367,1.500952
CEC2022_F1,0.05,0.15,1638605194,10986.9484581357282877,10686.9484581357282877,1.507641
CEC2022_F1,0.05,0.15,1884120510,7557.3706806597629111,7257.3706806597629111,1.521061
CEC2022_F1,0.05,0.2,2894928748,10558.7835251978594897,10258.7835251978594897,1.532249
CEC2022_F1,0.05,0.2,1806734915,14079.7872960069016699,13779.7872960069016699,1.530330
CEC2022_F1,0.05,0.2,3217235270,11296.0654740663303528,10996.0654740663303528,1.539643
CEC2022_F1,0.05,0.2,1790284968,13385.7644179563667421,13085.7644179563667421,1.553362
CEC2022_F1,0.05,0.2,3866555287,13060.4812375766668993,12760.4812375766668993,1.515594
CEC2022_F1,0.05,0.2,1850582270,10863.0372025598499022,10563.0372025598499022,1.516446
CEC2022_F1,0.05,0.2,77564218,7750.9207964683246246,7450.9207964683246246,1.521091
CEC2022_F1,0.05,0.2,2900478716,7664.3993042282972965,7364.3993042282972965,1.514074
CEC2022_F1,0.05,0.2,2658924762,6643.5084112067934257,6343.5084112067934257,1.519528
CEC2022_F1,0.05,0.2,4255501078,14825.1660902541916585,14525.1660902541916585,1.575872
CEC2022_F1,0.05,0.2,1632872662,8994.4935868247303006,8694.4935868247303006,1.517732
CEC2022_F1,0.05,0.2,904221688,12406.9927262720029830,12106.9927262720029830,1.515455
CEC2022_F1,0.05,0.2,4030529564,13615.4669414987165510,13315.4669414987165510,1.519381
CEC2022_F1,0.05,0.2,619566366,8515.5730914276118710,8215.5730914276118710,1.531745
CEC2022_F1,0.05,0.2,3493902821,7891.9564134827624002,7591.9564134827624002,1.520280
CEC2022_F1,0.05,0.2,2974449495,5041.0527593109245572,4741.0527593109245572,1.545942
CEC2022_F1,0.05,0.2,2545965601,11435.3628553744347300,11135.3628553744347300,1.527577
CEC2022_F1,0.05,0.2,2158924125,13055.6944181093222141,12755.6944181093222141,1.522615
CEC2022_F1,0.05,0.2,1981180051,11002.1080287145068723,10702.1080287145068723,1.556764
CEC2022_F1,0.05,0.2,2112044542,9906.7908758064495487,9606.7908758064495487,1.541379
CEC2022_F1,0.05,0.2,2881573664,10186.7071571537380805,9886.7071571537380805,1.527570
CEC2022_F1,0.05,0.2,2372223958,9406.6816765008261427,9106.6816765008261427,1.531809
CEC2022_F1,0.05,0.2,145415183,7312.2909887692130724,7012.2909887692130724,1.566726
CEC2022_F1,0.05,0.2,2487350364,12364.0054090434023237,12064.0054090434023237,1.534404
CEC2022_F1,0.05,0.2,3686646044,10139.1729161806142656,9839.1729161806142656,1.581802
CEC2022_F1,0.05,0.2,3678671351,13573.8928178804362688,13273.8928178804362688,1.712347
CEC2022_F1,0.05,0.2,524986831,2436.5553838678383727,2136.5553838678383727,1.602513
