elite_rate,elimination_rate,benchmark_id,run_times,best,mean,std,mean_error,median_error,std_error,mean_time
0.15,0.05,CEC2022_F5,30,915.4133206821613,1144.456842727119,133.07457000170155,244.45684272711904,231.4281377996184,133.07457000170155,1.7466557166655547
0.15,0.1,CEC2022_F5,30,936.835102274327,1145.0339405629124,162.9142434978451,245.0339405629122,227.71363466365426,162.91424349784506,1.7676175999998425
0.15,0.15,CEC2022_F5,30,929.9780888513516,1080.2127285498516,119.90111355237345,180.21272854985156,141.17162908045606,119.90111355237343,1.7711410500002482
0.15,0.2,CEC2022_F5,30,948.1034738817511,1090.6071605830389,103.50108693198695,190.607160583039,170.9408276619282,103.50108693198693,1.782856186669475
0.15,0.25,CEC2022_F5,30,911.0874858376803,1063.4146453247374,83.63934204049437,163.4146453247374,158.27693407543893,83.63934204049437,1.7886751866656898
0.2,0.05,CEC2022_F5,30,913.1246516706666,1097.0466549645057,119.44336366018831,197.04665496450568,170.49537262309957,119.44336366018831,1.8178325933384865
0.2,0.1,CEC2022_F5,30,911.1888290910742,1073.2316000346416,123.99838485018898,173.2316000346415,152.2537217783588,123.99838485018898,1.7856673300014032
0.2,0.15,CEC2022_F5,30,937.8503891581898,1096.2084645111977,131.4781071954397,196.20846451119783,156.58943390870263,131.4781071954397,1.799013249995187
0.2,0.2,CEC2022_F5,30,947.7964923642932,1064.7674680842717,91.48675855135849,164.7674680842719,147.86299101244435,91.48675855135849,1.8062282799975946
0.2,0.25,CEC2022_F5,30,933.1511941754328,1042.9070004891926,78.66698411212379,142.90700048919277,132.8624182720689,78.66698411212379,1.8158772266634817
0.25,0.05,CEC2022_F5,30,921.180678305153,1083.999729079036,123.47506682601966,183.99972907903575,157.65279865431512,123.47506682601964,1.8085434633336264
0.25,0.1,CEC2022_F5,30,950.5706842108347,1091.07646436311,107.1473125944001,191.07646436311006,164.51226555461665,107.1473125944001,1.817650806667128
0.25,0.15,CEC2022_F5,30,924.9620659283445,1089.4203058939818,95.27607293770103,189.4203058939819,191.65376881631585,95.27607293770103,1.832773983333997
0.25,0.2,CEC2022_F5,30,928.2128328626318,1057.370363846246,106.00263918305542,157.37036384624597,135.24150202344788,106.00263918305544,1.8402963199982574
0.25,0.25,CEC2022_F5,30,927.6969344987344,1068.7712470400913,86.56278879467736,168.77124704009137,166.74533754015204,86.56278879467735,1.8537234500031141
0.05,0.05,CEC2022_F6,30,1934.8647678529373,2368.4328189922335,434.04220861383425,568.4328189922334,460.54604501933,434.04220861383425,2.6554241600029247
0.05,0.1,CEC2022_F6,30,1908.8317538726444,2528.7470187503427,612.5569328915669,728.7470187503427,511.0918194696478,612.5569328915669,2.6744817433345207
0.05,0.15,CEC2022_F6,30,1898.3845199926088,2476.9647786634564,502.3851383792475,676.964778663456,478.86607308111047,502.3851383792475,2.6959336800015685
